word,freq
china,270
south-korea,139
italy,118
france,92
iran,92
germany,89
united-states,86
spain,80
united-kingdom,59
taiwan,57
vietnam,56
sweden,55
nepal,54
thailand,53
cambodia,52
sri-lanka,52
united-arab-emirates,49
belgium,46
russia,46
canada,45
australia,44
finland,44
india,44
malaysia,44
philippines,44
switzerland,39
singapore,37
norway,34
japan,30
egypt,29
netherlands,28
austria,27
afghanistan,24
oman,24
algeria,23
croatia,23
lebanon,23
denmark,22
georgia,22
north-macedonia,22
belarus,20
lithuania,20
mexico,20
new-zealand,20
nigeria,20
israel,19
kuwait,19
monaco,19
pakistan,19
armenia,18
azerbaijan,18
dominican-republic,18
iraq,18
andorra,17
ecuador,17
latvia,17
luxembourg,17
morocco,17
romania,17
san-marino,17
senegal,17
argentina,16
brazil,16
estonia,16
greece,16
jordan,16
ukraine,16
bahrain,15
hungary,15
liechtenstein,15
tunisia,15
bosnia-&-herzegovina,14
ireland,14
bhutan,13
cameroon,13
chile,13
colombia,13
costa-rica,13
holy-see,13
iceland,13
indonesia,13
serbia,13
south-africa,13
togo,13
czechia,12
malta,12
martinique,12
saudi-arabia,12
slovakia,12
bangladesh,11
bulgaria,11
maldives,11
moldova,11
paraguay,11
peru,11
portugal,11
qatar,11
albania,10
brunei,10
cyprus,10
poland,10
burkina-faso,9
mongolia,9
panama,9
bolivia,8
cote-d'ivoire,8
honduras,8
jamaica,8
slovenia,8
turkey,8
cuba,7
guyana,7
antigua-&-barbuda,6
ethiopia,6
guinea,6
kazakhstan,6
kenya,6
sudan,6
eswatini,5
gabon,5
ghana,5
guatemala,5
mauritania,5
namibia,5
rwanda,5
saint-lucia,5
saint-vincent-&-the-grenadines,5
seychelles,5
suriname,5
trinidad-&-tobago,5
uruguay,5
venezuela,5
central-african-republic,4
equatorial-guinea,4
kosovo,4
uzbekistan,4
bahamas,3
benin,3
greenland,3
liberia,3
somalia,3
tanzania,3
barbados,2
gambia,2
montenegro,2
djibouti,1
kyrgyzstan,1
mauritius,1
zambia,1
