word,freq
china,240
iran,80
italy,66
south-korea,63
japan,56
thailand,56
spain,53
australia,52
vietnam,50
taiwan,45
malaysia,44
singapore,43
sri-lanka,43
united-states,42
cambodia,39
canada,39
finland,39
france,39
nepal,39
philippines,39
russia,39
united-arab-emirates,39
united-kingdom,39
germany,38
india,35
belgium,33
israel,24
egypt,23
oman,22
mexico,19
switzerland,19
lebanon,18
romania,18
bahrain,16
denmark,16
kuwait,14
pakistan,14
senegal,14
austria,13
belarus,13
iraq,13
norway,13
sweden,13
iceland,12
indonesia,12
latvia,12
saudi-arabia,12
azerbaijan,11
algeria,10
andorra,10
croatia,9
jordan,9
malta,9
morocco,9
north-macedonia,9
portugal,9
argentina,8
greece,8
hungary,8
netherlands,8
qatar,8
san-marino,8
estonia,7
lithuania,7
afghanistan,6
bangladesh,6
brazil,6
czechia,6
georgia,6
jamaica,6
poland,6
serbia,6
armenia,5
bosnia-&-herzegovina,5
colombia,5
cote-d'ivoire,5
ireland,5
moldova,5
peru,5
niger,4
nigeria,4
brunei,2
chile,2
togo,2
albania,1
bulgaria,1
burkina-faso,1
costa-rica,1
ecuador,1
trinidad-&-tobago,1
ukraine,1
