"States","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Guangdong",1413,8,1332,73,1340
"Henan",1274,22,1250,2,1272
"Zhejiang",1238,1,1221,16,1222
"Hunan",1018,4,1014,0,1018
"Anhui",990,6,984,0,990
"Jiangxi",936,1,934,1,935
"Shandong",767,7,751,9,758
"Jiangsu",633,0,631,2,631
"Chongqing",577,6,570,1,576
"Sichuan",543,3,536,4,539
"Heilongjiang",484,13,466,5,479
"Beijing",522,8,400,114,408
"Shanghai",404,4,329,71,333
"Hebei",319,6,310,3,316
"Fujian",313,1,295,17,296
"Guangxi",254,2,250,2,252
"Shaanxi",248,3,239,6,242
"Yunnan",176,2,172,2,174
"Hainan",168,6,161,1,167
"Guizhou",147,2,144,1,146
"Tianjin",141,3,133,5,136
"Shanxi",133,0,133,0,133
"Gansu",136,2,114,20,116
"Hong Kong",317,4,100,213,104
"Liaoning",127,2,124,1,126
"Jilin",93,1,92,0,93
"Xinjiang",76,3,73,0,76
"Inner Mongolia",75,1,74,0,75
"Ningxia",75,0,75,0,75
"Qinghai",18,0,18,0,18
"Macau",24,0,10,14,10
"Tibet",1,0,1,0,1
