"States","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Washington",1996,95,1,1900,96
"New York",15793,117,0,15676,117
"California",1642,30,6,1606,36
"Massachusetts",646,5,1,640,6
"Diamond Princess",49,0,0,49,0
"Grand Princess",30,1,0,29,1
"Georgia",600,23,0,577,23
"Colorado",476,6,0,470,6
"Florida",830,13,0,817,13
"New Jersey",1914,20,1,1893,21
"Oregon",161,5,0,156,5
"Texas",627,6,0,621,6
"Illinois",1049,9,2,1038,11
"Pennsylvania",509,3,0,506,3
"Iowa",90,0,0,90,0
"Maryland",244,3,3,238,6
"North Carolina",302,0,0,302,0
"South Carolina",196,3,0,193,3
"Tennessee",505,2,0,503,2
"Virginia",221,6,0,215,6
"Arizona",152,2,1,149,3
"Indiana",201,6,0,195,6
"Kentucky",99,3,1,95,4
"District of Columbia",102,2,0,100,2
"Nevada",190,2,0,188,2
"New Hampshire",65,0,0,65,0
"Minnesota",169,1,0,168,1
"Nebraska",51,0,0,51,0
"Ohio",355,3,0,352,3
"Rhode Island",83,0,0,83,0
"Wisconsin",381,4,1,376,5
"Connecticut",223,5,0,218,5
"Hawaii",48,0,0,48,0
"Oklahoma",67,2,0,65,2
"Utah",181,1,0,180,1
"Kansas",64,2,0,62,2
"Louisiana",837,20,0,817,20
"Missouri",100,3,0,97,3
"Vermont",52,2,0,50,2
"Alaska",21,0,0,21,0
"Arkansas",165,0,0,165,0
"Delaware",47,0,0,47,0
"Idaho",42,0,0,42,0
"Maine",89,0,0,89,0
"Michigan",1037,9,0,1028,9
"Mississippi",207,1,0,206,1
"Montana",31,0,0,31,0
"New Mexico",57,0,0,57,0
"North Dakota",28,0,0,28,0
"South Dakota",21,1,0,20,1
"West Virginia",12,0,0,12,0
"Wyoming",24,0,0,24,0
"Kitsap, WA",0,0,0,0,0
"Solano, CA",0,0,0,0,0
"Santa Cruz, CA",0,0,0,0,0
"Napa, CA",0,0,0,0,0
"Ventura, CA",0,0,0,0,0
"Worcester, MA",0,0,0,0,0
"Gwinnett, GA",0,0,0,0,0
"DeKalb, GA",0,0,0,0,0
"Floyd, GA",0,0,0,0,0
"Fayette, GA",0,0,0,0,0
"Gregg, TX",0,0,0,0,0
"Monmouth, NJ",0,0,0,0,0
"Burlington, NJ",0,0,0,0,0
"Camden, NJ",0,0,0,0,0
"Passaic, NJ",0,0,0,0,0
"Union, NJ",0,0,0,0,0
"Eagle, CO",0,0,0,0,0
