"State","Day","Date","Confirmed","Deaths","Active.Cases","Closed.Cases"
"Diamond Princess","1","22-01-2020",NA,NA,NA,NA
"Diamond Princess","2","23-01-2020",NA,NA,NA,NA
"Diamond Princess","3","24-01-2020",NA,NA,NA,NA
"Diamond Princess","4","25-01-2020",NA,NA,NA,NA
"Diamond Princess","5","26-01-2020",NA,NA,NA,NA
"Diamond Princess","6","27-01-2020",NA,NA,NA,NA
"Diamond Princess","7","28-01-2020",NA,NA,NA,NA
"Diamond Princess","8","29-01-2020",NA,NA,NA,NA
"Diamond Princess","9","30-01-2020",NA,NA,NA,NA
"Diamond Princess","10","31-01-2020",NA,NA,NA,NA
"Diamond Princess","11","01-02-2020",NA,NA,NA,NA
"Diamond Princess","12","02-02-2020",NA,NA,NA,NA
"Diamond Princess","13","03-02-2020",NA,NA,NA,NA
"Diamond Princess","14","04-02-2020",NA,NA,NA,NA
"Diamond Princess","15","05-02-2020",NA,NA,NA,NA
"Diamond Princess","16","06-02-2020",NA,NA,NA,NA
"Diamond Princess","17","07-02-2020",NA,NA,NA,NA
"Diamond Princess","18","08-02-2020",NA,NA,NA,NA
"Diamond Princess","19","09-02-2020",NA,NA,NA,NA
"Diamond Princess","20","10-02-2020",NA,NA,NA,NA
"Diamond Princess","21","11-02-2020",NA,NA,NA,NA
"Diamond Princess","22","12-02-2020",NA,NA,NA,NA
"Diamond Princess","23","13-02-2020",NA,NA,NA,NA
"Diamond Princess","24","14-02-2020",NA,NA,NA,NA
"Diamond Princess","25","15-02-2020",NA,NA,NA,NA
"Diamond Princess","26","16-02-2020",NA,NA,NA,NA
"Diamond Princess","27","17-02-2020",NA,NA,NA,NA
"Diamond Princess","28","18-02-2020",NA,NA,NA,NA
"Diamond Princess","29","19-02-2020",NA,NA,NA,NA
"Diamond Princess","30","20-02-2020",NA,NA,NA,NA
"Diamond Princess","31","21-02-2020",NA,NA,NA,NA
"Diamond Princess","32","22-02-2020",NA,NA,NA,NA
"Diamond Princess","33","23-02-2020",NA,NA,NA,NA
"Diamond Princess","34","24-02-2020",NA,NA,NA,NA
"Diamond Princess","35","25-02-2020",NA,NA,NA,NA
"Diamond Princess","36","26-02-2020",NA,NA,NA,NA
"Diamond Princess","37","27-02-2020",NA,NA,NA,NA
"Diamond Princess","38","28-02-2020",NA,NA,NA,NA
"Diamond Princess","39","29-02-2020",NA,NA,NA,NA
"Diamond Princess","40","01-03-2020",NA,NA,NA,NA
"Diamond Princess","41","02-03-2020",NA,NA,NA,NA
"Diamond Princess","42","03-03-2020",NA,NA,NA,NA
"Diamond Princess","43","04-03-2020",NA,NA,NA,NA
"Diamond Princess","44","05-03-2020",NA,NA,NA,NA
"Diamond Princess","45","06-03-2020",NA,NA,NA,NA
"Diamond Princess","46","07-03-2020",NA,NA,NA,NA
"Diamond Princess","47","08-03-2020",NA,NA,NA,NA
"Diamond Princess","48","09-03-2020",NA,NA,NA,NA
"Diamond Princess","49","10-03-2020",NA,NA,NA,NA
"Diamond Princess","50","11-03-2020",NA,NA,NA,NA
"Diamond Princess","51","12-03-2020",NA,NA,NA,NA
"Diamond Princess","52","13-03-2020",NA,NA,NA,NA
"Diamond Princess","53","14-03-2020",NA,NA,NA,NA
"Diamond Princess","54","15-03-2020",NA,NA,NA,NA
"Diamond Princess","55","16-03-2020",NA,NA,NA,NA
"Diamond Princess","56","17-03-2020",NA,NA,NA,NA
"Diamond Princess","57","18-03-2020",NA,NA,NA,NA
"Diamond Princess","58","19-03-2020",NA,NA,NA,NA
"Diamond Princess","59","20-03-2020",NA,NA,NA,NA
"Diamond Princess","60","21-03-2020",NA,NA,NA,NA
"Diamond Princess","61","22-03-2020",NA,NA,NA,NA
"Diamond Princess","62","23-03-2020",NA,NA,NA,NA
"Diamond Princess","63","24-03-2020",NA,NA,NA,NA
"Diamond Princess","64","25-03-2020",NA,NA,NA,NA
"Diamond Princess","65","26-03-2020",NA,NA,NA,NA
"Diamond Princess","66","27-03-2020",NA,NA,NA,NA
