"","States","Country","Confirmed","Deaths","Active.Cases","Closed.Cases"
"1","Others","Afghanistan",273,6,267,6
"2","Others","Albania",277,16,261,16
"3","Others","Algeria",986,86,900,86
"4","Others","Andorra",428,15,413,15
"5","Others","Angola",8,2,6,2
"6","Others","Antigua and Barbuda",9,0,9,0
"7","Others","Argentina",1133,36,1097,36
"8","Others","Armenia",663,7,656,7
"9","Australian Capital Territory","Australia",87,1,86,1
"10","New South Wales","Australia",2298,10,2288,10
"11","Northern Territory","Australia",21,0,21,0
"12","Queensland","Australia",835,4,831,4
"13","South Australia","Australia",367,0,367,0
"14","Tasmania","Australia",72,2,70,2
"15","Victoria","Australia",1036,5,1031,5
"16","Western Australia","Australia",400,2,398,2
"17","Others","Austria",11129,158,10971,158
"18","Others","Azerbaijan",400,5,395,5
"19","Others","Bahamas",24,1,23,1
"20","Others","Bahrain",643,4,639,4
"21","Others","Bangladesh",56,6,50,6
"22","Others","Barbados",46,0,46,0
"23","Others","Belarus",304,4,300,4
"24","Others","Belgium",15348,1011,14337,1011
"25","Others","Belize",3,0,3,0
"26","Others","Benin",13,0,13,0
"27","Others","Bhutan",5,0,5,0
"28","Others","Bolivia",123,8,115,8
"29","Others","Bosnia and Herzegovina",533,16,517,16
"30","Others","Botswana",4,1,3,1
"31","Others","Brazil",8044,324,7720,324
"32","Others","Brunei",133,1,132,1
"33","Others","Bulgaria",457,10,447,10
"34","Others","Burkina Faso",288,16,272,16
"35","Others","Burma",20,1,19,1
"36","Others","Burundi",3,0,3,0
"37","Others","Cabo Verde",6,1,5,1
"38","Others","Cambodia",110,0,110,0
"39","Others","Cameroon",306,7,299,7
"40","Alberta","Canada",969,13,956,13
"41","British Columbia","Canada",1121,31,1090,31
"42","Grand Princess","Canada",13,0,13,0
"43","Manitoba","Canada",167,1,166,1
"44","New Brunswick","Canada",91,0,91,0
"45","Newfoundland and Labrador","Canada",183,1,182,1
"46","Nova Scotia","Canada",193,0,193,0
"47","Ontario","Canada",2793,53,2740,53
"48","Prince Edward Island","Canada",22,0,22,0
"49","Quebec","Canada",5518,36,5482,36
"50","Saskatchewan","Canada",206,3,203,3
"51","Diamond Princess","Canada",0,1,-1,1
"52","Recovered","Canada",0,0,0,0
"53","Northwest Territories","Canada",2,0,2,0
"54","Yukon","Canada",6,0,6,0
"55","Others","Central African Republic",3,0,3,0
"56","Others","Chad",8,0,8,0
"57","Others","Chile",3404,18,3386,18
"58","Anhui","China",990,6,984,6
"59","Beijing","China",582,8,574,8
"60","Chongqing","China",579,6,573,6
"61","Fujian","China",345,1,344,1
"62","Gansu","China",138,2,136,2
"63","Guangdong","China",1507,8,1499,8
"64","Guangxi","China",254,2,252,2
"65","Guizhou","China",147,2,145,2
"66","Hainan","China",168,6,162,6
"67","Hebei","China",325,6,319,6
"68","Heilongjiang","China",488,13,475,13
"69","Henan","China",1276,22,1254,22
"70","Hong Kong","China",802,4,798,4
"71","Hunan","China",1019,4,1015,4
"72","Inner Mongolia","China",117,1,116,1
"73","Jiangsu","China",647,0,647,0
