"Country","Confirmed","Deaths","Active.Cases","Closed.Cases"
"Afghanistan",34740,1048,33692,1048
"Albania",3667,97,3570,97
"Algeria",20216,1028,19188,1028
"Andorra",861,52,809,52
"Angola",541,26,515,26
"Antigua and Barbuda",74,3,71,3
"Argentina",106910,1968,104942,1968
"Armenia",32490,581,31909,581
"Australia",10487,112,10375,112
"Austria",19021,709,18312,709
"Azerbaijan",25113,319,24794,319
"Bahamas",116,11,105,11
"Bahrain",34078,111,33967,111
"Bangladesh",190057,2424,187633,2424
"Barbados",103,7,96,7
"Belarus",65269,474,64795,474
"Belgium",62781,9787,52994,9787
"Belize",39,2,37,2
"Benin",1378,26,1352,26
"Bhutan",84,0,84,0
"Bolivia",50867,1898,48969,1898
"Bosnia and Herzegovina",6981,226,6755,226
"Botswana",399,1,398,1
"Brazil",1926824,74133,1852691,74133
"Brunei",141,3,138,3
"Bulgaria",7645,283,7362,283
"Burkina Faso",1037,53,984,53
"Burundi",269,1,268,1
"Cabo Verde",1722,19,1703,19
"Cambodia",165,0,165,0
"Cameroon",15173,359,14814,359
"Canada",110351,8846,101505,8846
"Central African Republic",4356,53,4303,53
"Chad",884,75,809,75
"Chile",319493,7069,312424,7069
"Colombia",154277,5787,148490,5787
"Comoros",321,7,314,7
"Costa Rica",8482,37,8445,37
"Croatia",3827,120,3707,120
"Cuba",2432,87,2345,87
"Cyprus",1023,19,1004,19
"Czech Republic",13341,355,12986,355
"Democratic Republic of the Congo",10163,237,9926,237
"Denmark",13262,610,12652,610
"Diamond Princess",712,13,699,13
"Djibouti",4979,56,4923,56
"Dominica",46323,910,45413,910
"Dominican Republic",46305,910,45395,910
"Ecuador",69570,5130,64440,5130
"Egypt",83930,4008,79922,4008
"El Salvador",10303,278,10025,278
"Equatorial Guinea",3071,51,3020,51
"Eritrea",232,0,232,0
"Estonia",2015,69,1946,69
"Eswatini",1434,20,1414,20
"Ethiopia",7969,139,7830,139
"Fiji",26,0,26,0
"Finland",7301,329,6972,329
"France",209702,30034,179668,30034
"Gabon",6026,46,5980,46
"Gambia",64,3,61,3
"Georgia",999,15,984,15
"Germany",200456,9078,191378,9078
"Ghana",24988,139,24849,139
"Greece",3883,193,3690,193
"Grenada",23,0,23,0
"Guatemala",30872,1302,29570,1302
"Guinea",11124,115,11009,115
"Guinea-Bissau",1842,26,1816,26
"Guyana",308,17,291,17
"Haiti",6727,141,6586,141
"Holy See",12,0,12,0
"Honduras",28579,789,27790,789
"Hungary",4258,595,3663,595
"Iceland",1905,10,1895,10
"India",936181,24309,911872,24309
"Indonesia",78572,3710,74862,3710
"Iran",262173,13211,248962,13211
"Iraq",81757,3345,78412,3345
"Ireland",25670,1746,23924,1746
"Israel",42360,371,41989,371
"Italy",243344,34984,208360,34984
"Ivory Coast",13037,87,12950,87
"Jamaica",762,10,752,10
"Japan",22437,984,21453,984
"Jordan",1198,10,1188,10
"Kazakhstan",63514,375,63139,375
"Kenya",10791,202,10589,202
"Kosovo",5118,108,5010,108
"Kuwait",56174,396,55778,396
"Kyrgyzstan",11444,149,11295,149
"Laos",19,0,19,0
"Latvia",1174,31,1143,31
"Lebanon",2451,37,2414,37
"Lesotho",256,3,253,3
"Liberia",1024,51,973,51
"Libya",1563,42,1521,42
"Liechtenstein",86,2,84,2
"Lithuania",1875,79,1796,79
"Luxembourg",5056,111,4945,111
"Madagascar",5343,39,5304,39
"Malawi",2497,40,2457,40
"Malaysia",8729,122,8607,122
"Maldives",2801,14,2787,14
"Mali",2423,121,2302,121
