"Location","Day","Date","Confirmed","Deaths","Active.Cases","Closed.Cases"
"World","1","22-01-2020",111,0,111,0
"World","2","23-01-2020",210,0,210,0
"World","3","24-01-2020",392,0,392,0
"World","4","25-01-2020",673,0,673,0
"World","5","26-01-2020",1060,0,1060,0
"World","6","27-01-2020",1504,0,1504,0
"World","7","28-01-2020",2024,0,2024,0
"World","8","29-01-2020",2612,0,2612,0
"World","9","30-01-2020",3331,0,3331,0
"World","10","31-01-2020",4122,0,4122,0
"World","11","01-02-2020",4885,0,4885,0
"World","12","02-02-2020",5611,1,5610,1
"World","13","03-02-2020",6366,1,6365,1
"World","14","04-02-2020",7220,1,7219,1
"World","15","05-02-2020",7978,1,7977,1
"World","16","06-02-2020",8690,1,8689,1
"World","17","07-02-2020",9442,1,9441,1
"World","18","08-02-2020",10029,1,10028,1
"World","19","09-02-2020",10528,1,10527,1
"World","20","10-02-2020",11040,1,11039,1
"World","21","11-02-2020",11444,1,11443,1
"World","22","12-02-2020",11862,1,11861,1
"World","23","13-02-2020",12175,2,12173,2
"World","24","14-02-2020",12502,2,12500,2
"World","25","15-02-2020",12801,3,12798,3
"World","26","16-02-2020",13052,4,13048,4
"World","27","17-02-2020",13280,4,13276,4
"World","28","18-02-2020",13469,5,13464,5
"World","29","19-02-2020",13620,7,13613,7
"World","30","20-02-2020",13769,10,13759,10
"World","31","21-02-2020",14178,14,14164,14
"World","32","22-02-2020",14517,16,14501,16
"World","33","23-02-2020",14897,25,14872,25
"World","34","24-02-2020",15258,35,15223,35
"World","35","25-02-2020",15612,45,15567,45
"World","36","26-02-2020",16188,54,16134,54
"World","37","27-02-2020",17143,68,17075,68
"World","38","28-02-2020",18203,83,18120,83
"World","39","29-02-2020",19675,105,19570,105
"World","40","01-03-2020",21490,124,21366,124
"World","41","02-03-2020",23268,171,23097,171
"World","42","03-03-2020",25732,213,25519,213
"World","43","04-03-2020",27916,272,27644,272
"World","44","05-03-2020",30573,333,30240,333
"World","45","06-03-2020",34392,416,33976,416
"World","46","07-03-2020",38356,487,37869,487
"World","47","08-03-2020",42272,703,41569,703
"World","48","09-03-2020",46139,864,45275,864
"World","49","10-03-2020",51145,1127,50018,1127
"World","50","11-03-2020",58795,1450,57345,1450
"World","51","12-03-2020",64537,1744,62793,1744
"World","52","13-03-2020",78939,2233,76706,2233
"World","53","14-03-2020",90049,2637,87412,2637
"World","54","15-03-2020",101195,3268,97927,3268
"World","55","16-03-2020",115856,3939,111917,3939
"World","56","17-03-2020",131713,4730,126983,4730
"World","57","18-03-2020",151317,5616,145701,5616
"World","58","19-03-2020",179251,6717,172534,6717
"World","59","20-03-2020",208904,8191,200713,8191
"World","60","21-03-2020",241263,9893,231370,9893
"World","61","22-03-2020",274781,11578,263203,11578
"World","62","23-03-2020",317004,13497,303507,13497
"World","63","24-03-2020",358256,15762,342494,15762
"World","64","25-03-2020",409165,18538,390627,18538
"World","65","26-03-2020",472174,21540,450634,21540
"World","66","27-03-2020",536672,25063,511609,25063
"World","67","28-03-2020",604482,28744,575738,28744
"World","68","29-03-2020",664221,32223,631998,32223
"World","69","30-03-2020",728931,36387,692544,36387
"World","70","31-03-2020",805549,41238,764311,41238
"World","71","01-04-2020",881973,46789,835184,46789
"World","72","02-04-2020",963494,53089,910405,53089
"World","73","03-04-2020",1046789,59080,987709,59080
"World","74","04-04-2020",1127259,64918,1062341,64918
"World","75","05-04-2020",1199247,69952,1129295,69952
"World","76","06-04-2020",1272020,75786,1196234,75786
"World","77","07-04-2020",1349041,83699,1265342,83699
"World","78","08-04-2020",1433000,90443,1342557,90443
"World","79","09-04-2020",1519919,98082,1421837,98082
"World","80","10-04-2020",1607803,105360,1502443,105360
"World","81","11-04-2020",1684912,111469,1573443,111469
"World","82","12-04-2020",1781965,117206,1664759,117206
"World","83","13-04-2020",1851855,122955,1728900,122955
"World","84","14-04-2020",1921852,129863,1791989,129863
"World","85","15-04-2020",2003067,138179,1864888,138179
"World","86","16-04-2020",2099926,145468,1954458,145468
"World","87","17-04-2020",2187770,153078,2034692,153078
"World","88","18-04-2020",2262007,159569,2102438,159569
"World","89","19-04-2020",2342927,164150,2178777,164150
"World","90","20-04-2020",2416601,169600,2247001,169600
"World","91","21-04-2020",2491966,176767,2315199,176767
"World","92","22-04-2020",2571425,183547,2387878,183547
"World","93","23-04-2020",2658571,190404,2468167,190404
"World","94","24-04-2020",2756002,197082,2558920,197082
"World","95","25-04-2020",2838332,202668,2635664,202668
"World","96","26-04-2020",2909849,206561,2703288,206561
"World","97","27-04-2020",2976978,211214,2765764,211214
"World","98","28-04-2020",3051484,217686,2833798,217686
"World","99","29-04-2020",3129435,224468,2904967,224468
"World","100","30-04-2020",3212855,230445,2982410,230445
"World","101","01-05-2020",3300512,235650,3064862,235650
"World","102","02-05-2020",3381643,241005,3140638,241005
"World","103","03-05-2020",3459418,244467,3214951,244467
"World","104","04-05-2020",3535788,248612,3287176,248612
