"States","Country","Confirmed","Deaths","Active.Cases","Closed.Cases"
"Others","Afghanistan",22142,405,21737,405
"Others","Albania",1341,34,1307,34
"Others","Algeria",10484,732,9752,732
"Others","Andorra",852,51,801,51
"Others","Angola",113,4,109,4
"Others","Antigua and Barbuda",26,3,23,3
"Others","Argentina",25987,735,25252,735
"Others","Armenia",14103,227,13876,227
"Australian Capital Territory","Australia",108,3,105,3
"New South Wales","Australia",3117,48,3069,48
"Northern Territory","Australia",29,0,29,0
"Queensland","Australia",1063,7,1056,7
"South Australia","Australia",440,4,436,4
"Tasmania","Australia",228,13,215,13
"Victoria","Australia",1699,19,1680,19
"Western Australia","Australia",601,9,592,9
"Others","Austria",17005,673,16332,673
"Others","Azerbaijan",8530,102,8428,102
"Others","Bahamas",103,11,92,11
"Others","Bahrain",16200,31,16169,31
"Others","Bangladesh",74865,1012,73853,1012
"Others","Barbados",96,7,89,7
"Others","Belarus",51066,288,50778,288
"Others","Belgium",59569,9629,49940,9629
"Others","Belize",20,2,18,2
"Others","Benin",339,4,335,4
"Others","Bhutan",59,0,59,0
"Others","Bolivia",15281,512,14769,512
"Others","Bosnia and Herzegovina",2775,161,2614,161
"Others","Botswana",48,1,47,1
"Others","Brazil",772416,39680,732736,39680
"Others","Brunei",141,2,139,2
"Others","Bulgaria",2993,167,2826,167
"Others","Burkina Faso",891,53,838,53
"Others","Burundi",83,1,82,1
"Others","Cabo Verde",615,5,610,5
"Others","Cambodia",126,0,126,0
"Others","Cameroon",8681,212,8469,212
"Alberta","Canada",7276,151,7125,151
"British Columbia","Canada",2680,167,2513,167
"Grand Princess","Canada",13,0,13,0
"Manitoba","Canada",300,7,293,7
"New Brunswick","Canada",151,1,150,1
"Newfoundland and Labrador","Canada",261,3,258,3
"Nova Scotia","Canada",1061,62,999,62
"Ontario","Canada",32936,2552,30384,2552
"Prince Edward Island","Canada",27,1,26,1
"Quebec","Canada",53341,5081,48260,5081
"Saskatchewan","Canada",658,13,645,13
"Diamond Princess","Canada",1,1,0,1
"Northwest Territories","Canada",5,0,5,0
"Yukon","Canada",11,0,11,0
